Sta    Lon       Lat       de(m)     dn(m)     du(m)    sde(m)   sdn(m)   sdu(m)
HUWE  120.2866  23.7294   0.02281  -0.00011  -0.00547  0.00053  0.00064  0.00202 
HUYS  121.0294  24.0923   0.09345  -0.01922  -0.00991  0.00061  0.00074  0.00234 
ICHU  120.2793  23.3607   0.01851  -0.00465   0.00176  0.00051  0.00062  0.00195 
ILAN  121.7566  24.7640   0.01050  -0.00562  -0.01817  0.00063  0.00076  0.00241 
JLUT  120.6228  22.3300   0.00494   0.00048  -0.01103  0.00058  0.00070  0.00222 
JSAN  120.6809  23.7612   0.01742  -0.00287  -0.00634  0.00056  0.00068  0.00214 
JYAN  121.2263  24.2425   0.15241  -0.06800  -0.07580  0.00056  0.00068  0.00214 
KASU  120.6330  22.8102   0.00333  -0.00479  -0.00080  0.00055  0.00066  0.00208 
KHLZ  120.2529  22.8559  -0.00608   0.00035   0.00988  0.00050  0.00060  0.00189 
KIMN  118.2892  24.4074   0.00987  -0.00641  -0.00099  0.00071  0.00086  0.00273 
KYI2  121.0805  25.0410   0.02360  -0.02314   0.00268  0.00065  0.00079  0.00249 
LANY  121.5581  22.0373   0.01852   0.00066  -0.00658  0.00079  0.00095  0.00300 
LGU2  120.6350  22.9938   0.00108   0.00078  -0.00089  0.00051  0.00061  0.00193 
LIKN  120.5279  22.7586  -0.00606  -0.00882  -0.01792  0.00079  0.00096  0.00302 
LIU2  120.3687  22.3462   0.00086  -0.00209   0.00364  0.00051  0.00062  0.00196 
LNK2  121.3771  25.0776   0.02337  -0.01914   0.01740  0.00060  0.00073  0.00230 
LONT  121.1306  22.9063   0.00001  -0.00328   0.00425  0.00054  0.00065  0.00204 
LTUN  121.7716  24.7000   0.03333  -0.00633  -0.02215  0.00079  0.00095  0.00302 
LUKN  120.4351  24.0600   0.01889  -0.00651  -0.01102  0.00085  0.00103  0.00326 
MFEN  121.1725  24.0822   0.14684  -0.03073  -0.06251  0.00050  0.00060  0.00190 
MIAO  120.8103  24.5835   0.05015  -0.02862   0.02819  0.00115  0.00139  0.00439 
MLO2  120.5538  22.9000   0.00910  -0.00832  -0.00146  0.00072  0.00087  0.00275 
NAAO  121.8102  24.4493   0.04604   0.03642   0.00772  0.00056  0.00067  0.00213 
NCK1  120.2758  22.9385   0.00159  -0.00492   0.00765  0.00052  0.00063  0.00198 
NCUT  121.1855  24.9677   0.01511  -0.02309   0.01329  0.00038  0.00045  0.00144 
NIPU  121.4121  23.2433  -0.00072  -0.00509   0.00172  0.00059  0.00071  0.00224 
NSAN  121.3828  24.4282   0.09735  -0.08996   0.02608  0.00077  0.00093  0.00293 
NSHE  120.8009  24.2258   0.05719  -0.01697  -0.01382  0.00052  0.00063  0.00200 
PAN9  119.5637  23.5652   0.01087  -0.00508  -0.00862  0.00067  0.00081  0.00256 
PAO2  120.9231  24.7079   0.04148  -0.02910   0.01259  0.00062  0.00074  0.00235 
PEI1  120.1686  23.2938   0.01630  -0.00402   0.01419  0.00071  0.00085  0.00269 
PLA2  121.0864  24.5788   0.05720  -0.04948   0.00753  0.00069  0.00084  0.00264 
PNC1  122.0794  25.6275   0.00651  -0.00365  -0.00190  0.00049  0.00059  0.00186 
PNL1  120.9705  24.5429   0.06538  -0.03532   0.01401  0.00059  0.00071  0.00226 
PTDG  120.4652  22.4739   0.00659  -0.00537  -0.00687  0.00056  0.00067  0.00213 
PUS2  120.5258  23.9702   0.03002  -0.00304  -0.01673  0.00048  0.00058  0.00184 
SANL  120.7686  23.6645   0.01906   0.00280   0.01037  0.00057  0.00069  0.00217 
SANY  120.7692  24.4136   0.05381  -0.02396   0.00858  0.00050  0.00061  0.00191 
SANZ  121.5009  25.2608  -0.00194  -0.00908   0.02119  0.00067  0.00081  0.00257 
SFON  121.0102  24.9329   0.01408  -0.02155   0.00338  0.00066  0.00080  0.00253 
SGAN  120.3497  22.5813  -0.01394  -0.01018  -0.02889  0.00091  0.00110  0.00346 
SGUN  120.6919  24.2716   0.03782  -0.01174  -0.00464  0.00064  0.00078  0.00246 
SHUL  121.5627  23.7876  -0.02985  -0.15401   0.11842  0.00086  0.00103  0.00327 
SHWA  120.3478  23.0214   0.00431  -0.00229   0.00274  0.00059  0.00072  0.00227 
SLI1  121.4414  23.8119   0.02556  -0.03460   0.01537  0.00100  0.00121  0.00383 
SLNP  121.6356  24.7531   0.01863  -0.01786   0.01084  0.00058  0.00070  0.00223 
SNDI  120.6406  22.7173   0.00708   0.00081  -0.01467  0.00070  0.00084  0.00266 
SON3  120.9859  24.3978   0.07957  -0.02319   0.00561  0.00085  0.00103  0.00325 
SUA1  120.2999  23.4776   0.01021  -0.00517   0.01346  0.00057  0.00069  0.00218 
SUA2  121.8477  24.6157   0.02832   0.01031   0.02474  0.00059  0.00071  0.00223 
SUN2  120.9084  23.8812   0.04465   0.00489  -0.03055  0.00060  0.00073  0.00229 
TAN2  121.4314  25.1785   0.00378  -0.01335   0.00290  0.00049  0.00059  0.00187 
TAT3  120.8870  23.4814  -0.03681  -0.01400   0.06711  0.00191  0.00230  0.00727 
TEGS  120.6550  24.3562   0.03869  -0.01441  -0.00438  0.00049  0.00060  0.00189 
TSHI  121.6328  25.2569   0.00880  -0.00867   0.00039  0.00066  0.00079  0.00250 
TSIO  120.7041  24.4728   0.02961  -0.01788  -0.00610  0.00061  0.00074  0.00233 
TTCS  121.2151  23.1249  -0.00529  -0.00335  -0.00428  0.00050  0.00061  0.00192 
TTUN  121.0807  22.7646   0.01389  -0.00066  -0.00113  0.00076  0.00092  0.00290 
TUNM  121.4936  23.9652   0.07784  -0.04203  -0.09139  0.00087  0.00104  0.00330 
TUNS  120.4041  23.3172   0.02695  -0.00152  -0.00372  0.00070  0.00084  0.00266 
WALI  121.6894  25.1758   0.01036  -0.00809   0.00223  0.00056  0.00068  0.00214 
WANS  120.8852  23.6075   0.00254   0.00956  -0.00058  0.00060  0.00073  0.00229 
WDAN  120.5043  22.6061   0.00926  -0.00173  -0.00173  0.00050  0.00061  0.00192 
WFEN  120.6995  24.0419   0.04740  -0.00487  -0.01868  0.00052  0.00063  0.00199 
WIPN  121.0586  24.6746   0.04175  -0.04043   0.01813  0.00053  0.00064  0.00201 
WUKU  121.4007  25.1173   0.02047  -0.00727   0.03577  0.00107  0.00129  0.00407 
YAME  121.1853  24.9085   0.02098  -0.02675   0.01650  0.00062  0.00074  0.00236 
YENL  121.6019  23.9035   0.08015  -0.20950   0.35835  0.00053  0.00064  0.00203 
YLSS  121.6530  24.6679   0.02450  -0.01690  -0.00819  0.00049  0.00059  0.00186 
YUL1  121.3002  23.3214   0.00383  -0.02021   0.01798  0.00103  0.00124  0.00393 
YUSN  120.9591  23.4873   0.00778  -0.00351  -0.00682  0.00121  0.00146  0.00461 
ZEND  120.2176  22.9433  -0.00513   0.00537   0.00897  0.00087  0.00104  0.00330 
ZUZH  121.5443  25.1622   0.01297  -0.01304  -0.00696  0.00069  0.00083  0.00263 
